,error_down,error_up,error_stay,mean_dist,total_params,file_name
0,0,0,0,137.2223520649639,313,101010111
1,0,0,0,134.14566820393335,313,101010111
2,0,0,0,135.36104830422676,313,101010111
3,0,0,0,134.84112066232808,313,101010111
4,0,0,1,132.0152592228053,643,101010222
5,0,0,0,131.7999907774136,643,101010222
6,0,0,0,132.4631040224583,643,101010222
7,0,0,0,131.5586092905874,643,101010222
8,0,0,0,134.26290679240458,"1,023",202020111
9,0,0,0,132.8944703793231,"1,023",202020111
10,0,0,0,132.93814480364864,"1,023",202020111
11,0,0,0,133.3792510311954,"1,023",202020111
12,0,0,1,132.51516004276792,"2,283",202020222
13,0,1,0,131.34845168138108,"2,283",202020222
14,0,0,0,132.10141085853684,"2,283",202020222
15,0,0,0,132.7381303092714,"2,283",202020222
16,0,0,1,132.78560549516902,"1,503",202040111
17,0,0,0,133.0905278416339,"1,503",202040111
18,0,0,0,134.9137312618859,"1,503",202040111
19,0,0,0,134.06936631915602,"1,503",202040111
20,1,0,1,132.26743064174542,"3,983",202040222
21,0,1,1,132.04267177395454,"3,983",202040222
22,0,0,0,131.33529105666048,"3,983",202040222
23,0,0,0,131.28160248136965,"3,983",202040222
24,1,0,0,134.79090345108642,"1,983",202060111
25,0,0,0,133.62838975964766,"1,983",202060111
26,0,0,0,134.0539218554334,"1,983",202060111
27,0,0,0,134.5996952610371,"1,983",202060111
28,0,1,0,133.15868628937636,"6,483",202060222
29,0,0,0,131.97404283332935,"6,483",202060222
30,0,0,0,132.29214773207744,"6,483",202060222
31,0,0,0,132.45922013137624,"6,483",202060222
32,0,0,0,134.23519675417464,"2,463",202080111
33,0,0,0,133.25567724316235,"2,463",202080111
34,0,0,0,132.97283946581493,"2,463",202080111
35,0,0,0,134.4495887473768,"2,463",202080111
36,0,0,0,133.02721331027794,"9,783",202080222
37,0,0,0,131.32349229185814,"9,783",202080222
38,1,0,0,132.1672224156677,"9,783",202080222
39,0,0,0,133.15814172532106,"9,783",202080222
40,0,0,0,133.82608392878277,"1,843",204020111
41,0,0,0,135.19292424848055,"1,843",204020111
42,0,0,0,133.59674716902177,"1,843",204020111
43,0,0,0,134.38165395769707,"1,843",204020111
44,0,0,0,133.0621344856561,"4,323",204020222
45,0,0,0,132.32382641577172,"4,323",204020222
46,0,0,0,132.2395925419309,"4,323",204020222
47,1,0,0,132.64132871766378,"4,323",204020222
48,0,0,0,132.62513718116398,"2,723",204040111
49,0,0,0,133.72173446792502,"2,723",204040111
50,0,1,0,133.56941308101642,"2,723",204040111
